TIME,RE,LE
2007-08-21 10:44:12.0000,0.0,0.0
2007-08-21 10:44:12.0006,-0.1,-0.1
2007-08-21 10:44:12.0012,-0.5,-0.4
2007-08-21 10:44:12.0018,-0.8,-0.8
2007-08-21 10:44:12.0024,-1.0,-1.0
2007-08-21 10:44:12.0030,-1.3,-1.4
2007-08-21 10:44:12.0035,-1.6,-1.6
2007-08-21 10:44:12.0041,-1.9,-1.7
2007-08-21 10:44:12.0047,-2.0,-1.8
2007-08-21 10:44:12.0053,-2.0,-1.8
2007-08-21 10:44:12.0059,-2.1,-1.8
2007-08-21 10:44:12.0065,-2.1,-1.9
2007-08-21 10:44:12.0071,-2.0,-2.0
2007-08-21 10:44:12.0077,-2.1,-2.2
2007-08-21 10:44:12.0083,-2.0,-2.3
2007-08-21 10:44:12.0089,-1.9,-2.4
2007-08-21 10:44:12.0094,-1.9,-2.6
2007-08-21 10:44:12.0100,-1.9,-2.5
2007-08-21 10:44:12.0106,-1.8,-2.3
2007-08-21 10:44:12.0112,-1.7,-2.1
2007-08-21 10:44:12.0118,-1.4,-1.8
2007-08-21 10:44:12.0124,-1.1,-1.5
2007-08-21 10:44:12.0130,-1.0,-0.9
2007-08-21 10:44:12.0136,-0.7,-0.3
2007-08-21 10:44:12.0142,-0.5,0.0
2007-08-21 10:44:12.0148,-0.4,0.1
2007-08-21 10:44:12.0153,-0.5,0.1
2007-08-21 10:44:12.0159,-0.6,0.1
2007-08-21 10:44:12.0165,-0.6,0.0
2007-08-21 10:44:12.0171,-0.5,0.0
2007-08-21 10:44:12.0177,-0.6,0.0
2007-08-21 10:44:12.0183,-0.6,-0.1
2007-08-21 10:44:12.0189,-0.8,-0.1
2007-08-21 10:44:12.0195,-0.7,-0.1
2007-08-21 10:44:12.0201,-0.9,-0.2
2007-08-21 10:44:12.0207,-0.9,-0.2
2007-08-21 10:44:12.0212,-0.9,-0.4
2007-08-21 10:44:12.0218,-1.1,-0.6
2007-08-21 10:44:12.0224,-1.3,-1.0
2007-08-21 10:44:12.0230,-1.5,-1.4
2007-08-21 10:44:12.0236,-1.7,-1.8
2007-08-21 10:44:12.0242,-2.0,-2.1
2007-08-21 10:44:12.0248,-2.1,-2.1
2007-08-21 10:44:12.0254,-2.1,-2.3
2007-08-21 10:44:12.0260,-2.5,-2.6
2007-08-21 10:44:12.0266,-2.6,-2.6
2007-08-21 10:44:12.0272,-2.8,-2.6
2007-08-21 10:44:12.0277,-2.9,-2.6
2007-08-21 10:44:12.0283,-3.0,-2.6
2007-08-21 10:44:12.0289,-3.0,-2.4
2007-08-21 10:44:12.0295,-3.0,-2.3
2007-08-21 10:44:12.0301,-2.8,-2.3
2007-08-21 10:44:12.0307,-2.6,-2.1
2007-08-21 10:44:12.0313,-2.4,-1.9
2007-08-21 10:44:12.0319,-2.1,-1.6
2007-08-21 10:44:12.0325,-1.7,-1.2
2007-08-21 10:44:12.0331,-1.4,-0.8
2007-08-21 10:44:12.0336,-1.1,-0.6
2007-08-21 10:44:12.0342,-0.9,-0.5
2007-08-21 10:44:12.0348,-1.0,-0.3
2007-08-21 10:44:12.0354,-1.0,-0.3
2007-08-21 10:44:12.0360,-1.1,-0.1
2007-08-21 10:44:12.0366,-1.0,0.0
2007-08-21 10:44:12.0372,-0.8,0.0
2007-08-21 10:44:12.0378,-0.6,0.3
2007-08-21 10:44:12.0384,-0.3,0.4
2007-08-21 10:44:12.0390,0.0,0.6
2007-08-21 10:44:12.0395,0.0,0.8
2007-08-21 10:44:12.0401,0.1,0.7
2007-08-21 10:44:12.0407,0.2,0.7
2007-08-21 10:44:12.0413,0.0,0.4
2007-08-21 10:44:12.0419,-0.2,0.0
2007-08-21 10:44:12.0425,-0.7,-0.5
2007-08-21 10:44:12.0431,-1.0,-0.8
2007-08-21 10:44:12.0437,-1.4,-1.1
2007-08-21 10:44:12.0443,-1.5,-1.2
2007-08-21 10:44:12.0449,-1.4,-1.2
2007-08-21 10:44:12.0455,-1.3,-1.1
2007-08-21 10:44:12.0460,-1.0,-0.9
2007-08-21 10:44:12.0466,-0.8,-0.8
2007-08-21 10:44:12.0472,-0.6,-0.7
2007-08-21 10:44:12.0478,-0.4,-0.6
2007-08-21 10:44:12.0484,-0.3,-0.6
2007-08-21 10:44:12.0490,-0.1,-0.5
2007-08-21 10:44:12.0496,0.0,-0.2
2007-08-21 10:44:12.0502,0.4,-0.1
2007-08-21 10:44:12.0508,0.6,0.0
2007-08-21 10:44:12.0514,0.8,0.3
