TIME,RE,LE
2007-08-21 10:40:26.0000,0.0,0.0
2007-08-21 10:40:26.0006,0.0,-0.3
2007-08-21 10:40:26.0012,0.0,-0.5
2007-08-21 10:40:26.0018,-0.2,-0.6
2007-08-21 10:40:26.0024,-0.1,-0.8
2007-08-21 10:40:26.0030,-0.2,-0.8
2007-08-21 10:40:26.0035,-0.1,-0.8
2007-08-21 10:40:26.0041,-0.1,-0.9
2007-08-21 10:40:26.0047,-0.1,-1.1
2007-08-21 10:40:26.0053,-0.3,-1.3
2007-08-21 10:40:26.0059,-0.5,-1.3
2007-08-21 10:40:26.0065,-0.5,-1.3
2007-08-21 10:40:26.0071,-0.7,-1.3
2007-08-21 10:40:26.0077,-0.7,-1.3
2007-08-21 10:40:26.0083,-0.7,-1.2
2007-08-21 10:40:26.0089,-0.9,-1.4
2007-08-21 10:40:26.0094,-1.0,-1.4
2007-08-21 10:40:26.0100,-1.0,-1.5
2007-08-21 10:40:26.0106,-1.1,-1.5
2007-08-21 10:40:26.0112,-1.0,-1.5
2007-08-21 10:40:26.0118,-0.9,-1.4
2007-08-21 10:40:26.0124,-0.7,-1.2
2007-08-21 10:40:26.0130,-0.5,-1.0
2007-08-21 10:40:26.0136,-0.2,-0.8
2007-08-21 10:40:26.0142,-0.1,-0.5
2007-08-21 10:40:26.0148,0.0,-0.3
2007-08-21 10:40:26.0153,0.1,-0.1
2007-08-21 10:40:26.0159,0.2,0.0
2007-08-21 10:40:26.0165,0.2,-0.1
2007-08-21 10:40:26.0171,0.2,-0.3
2007-08-21 10:40:26.0177,0.0,-0.5
2007-08-21 10:40:26.0183,-0.2,-0.7
2007-08-21 10:40:26.0189,-0.1,-0.9
2007-08-21 10:40:26.0195,-0.1,-1.0
2007-08-21 10:40:26.0201,-0.2,-1.2
2007-08-21 10:40:26.0207,-0.3,-1.3
2007-08-21 10:40:26.0212,-0.3,-1.5
2007-08-21 10:40:26.0218,-0.3,-1.7
2007-08-21 10:40:26.0224,-0.2,-1.8
2007-08-21 10:40:26.0230,-0.2,-1.9
2007-08-21 10:40:26.0236,-0.2,-1.9
2007-08-21 10:40:26.0242,-0.2,-2.0
2007-08-21 10:40:26.0248,-0.3,-2.0
2007-08-21 10:40:26.0254,-0.5,-2.0
2007-08-21 10:40:26.0260,-0.8,-2.0
2007-08-21 10:40:26.0266,-1.0,-2.1
2007-08-21 10:40:26.0272,-1.2,-2.0
2007-08-21 10:40:26.0277,-1.3,-2.1
2007-08-21 10:40:26.0283,-1.4,-2.1
2007-08-21 10:40:26.0289,-1.6,-2.1
2007-08-21 10:40:26.0295,-1.7,-2.2
2007-08-21 10:40:26.0301,-1.7,-2.1
2007-08-21 10:40:26.0307,-1.7,-2.3
2007-08-21 10:40:26.0313,-1.7,-2.3
2007-08-21 10:40:26.0319,-1.7,-2.2
2007-08-21 10:40:26.0325,-1.5,-2.2
2007-08-21 10:40:26.0331,-1.4,-2.1
2007-08-21 10:40:26.0336,-1.2,-2.0
2007-08-21 10:40:26.0342,-1.1,-1.9
2007-08-21 10:40:26.0348,-0.9,-1.6
2007-08-21 10:40:26.0354,-0.8,-1.4
2007-08-21 10:40:26.0360,-0.5,-1.3
2007-08-21 10:40:26.0366,-0.3,-1.2
2007-08-21 10:40:26.0372,-0.1,-1.1
2007-08-21 10:40:26.0378,0.0,-0.9
2007-08-21 10:40:26.0384,0.1,-0.7
2007-08-21 10:40:26.0390,0.3,-0.5
2007-08-21 10:40:26.0395,0.3,-0.3
2007-08-21 10:40:26.0401,0.4,-0.2
2007-08-21 10:40:26.0407,0.4,0.0
2007-08-21 10:40:26.0413,0.4,0.2
2007-08-21 10:40:26.0419,0.5,0.4
2007-08-21 10:40:26.0425,0.4,0.4
2007-08-21 10:40:26.0431,0.3,0.5
2007-08-21 10:40:26.0437,0.3,0.3
2007-08-21 10:40:26.0443,0.5,0.2
2007-08-21 10:40:26.0449,0.6,0.1
2007-08-21 10:40:26.0455,0.8,0.1
2007-08-21 10:40:26.0460,1.1,0.1
2007-08-21 10:40:26.0466,1.4,0.2
2007-08-21 10:40:26.0472,1.6,0.3
2007-08-21 10:40:26.0478,1.9,0.5
2007-08-21 10:40:26.0484,2.1,0.7
2007-08-21 10:40:26.0490,2.2,0.8
2007-08-21 10:40:26.0496,2.3,1.2
2007-08-21 10:40:26.0502,2.3,1.3
2007-08-21 10:40:26.0508,2.3,1.3
2007-08-21 10:40:26.0514,2.1,1.2
2007-08-21 10:40:26.0519,2.1,1.0
2007-08-21 10:40:26.0525,2.1,1.0
2007-08-21 10:40:26.0531,2.2,0.9
2007-08-21 10:40:26.0537,2.3,1.0
2007-08-21 10:40:26.0543,2.4,1.0
2007-08-21 10:40:26.0549,2.5,1.0
2007-08-21 10:40:26.0555,2.6,1.0
2007-08-21 10:40:26.0561,2.7,1.2
2007-08-21 10:40:26.0567,2.6,1.2
2007-08-21 10:40:26.0573,2.5,1.2
2007-08-21 10:40:26.0578,2.5,1.2
2007-08-21 10:40:26.0584,2.5,1.1
2007-08-21 10:40:26.0590,2.4,0.8
2007-08-21 10:40:26.0596,2.3,0.8
2007-08-21 10:40:26.0602,2.1,0.7
2007-08-21 10:40:26.0608,2.0,0.6
